Grupo A: México, Sudáfrica, Corea del Sur, República Checa 

Grupo B: Canadá, Qatar, Suiza, Bosnia y Herzegovina 

Grupo C: Brasil, Marruecos, Haití, Escocia 

Grupo D: Estados Unidos, Paraguay, Australia, Turquía 

Grupo E: Alemania, Curazao, Costa de Marfil, Ecuador 

Grupo F: Países Bajos, Japón, Túnez, Suecia 

Grupo G: Bélgica, Egipto, Irán, Nueva Zelanda 

Grupo H: España, Cabo Verde, Arabia Saudita, Uruguay 

Grupo I: Francia, Senegal, Noruega, Irak 

Grupo J: Argentina, Argelia, Austria, Jordania 

Grupo K: Portugal, Uzbekistán, Colombia, República Democrática del Congo 

Grupo L: Inglaterra, Croacia, Ghana, Panamá 
